,age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
30577,42,technician,married,tertiary,no,1397,yes,no,cellular,6,feb,135,7,-1,0,,no
30048,51,blue-collar,married,secondary,no,362,yes,yes,cellular,4,feb,318,3,-1,0,,no
24147,23,admin.,single,secondary,no,40,no,no,telephone,10,nov,1239,1,-1,0,,no
25584,57,entrepreneur,married,tertiary,no,1828,yes,no,cellular,19,nov,68,1,-1,0,,no
15822,47,management,divorced,tertiary,no,2105,no,yes,cellular,21,jul,363,1,-1,0,,no
177,34,technician,married,secondary,no,51,yes,no,,5,may,19,2,-1,0,,no
20421,44,self-employed,married,primary,no,4,no,no,cellular,12,aug,327,2,-1,0,,no
7170,26,admin.,single,tertiary,no,3672,yes,no,,29,may,360,5,-1,0,,no
928,52,blue-collar,married,secondary,no,-98,yes,no,,7,may,423,1,-1,0,,no
20114,35,technician,single,tertiary,no,2277,no,yes,cellular,11,aug,55,2,-1,0,,no
11896,35,self-employed,married,secondary,no,273,no,no,,20,jun,28,4,-1,0,,no
26029,37,management,single,tertiary,no,6964,no,no,cellular,19,nov,223,3,-1,0,,no
43415,29,management,single,,no,560,no,no,cellular,5,apr,459,1,307,1,failure,yes
42281,61,retired,married,secondary,no,3114,no,no,cellular,13,nov,381,1,-1,0,,yes
31384,57,retired,married,tertiary,no,1292,no,no,cellular,24,mar,89,1,-1,0,,no
28472,60,technician,divorced,secondary,no,615,yes,no,cellular,29,jan,130,1,-1,0,,no
26957,52,admin.,divorced,secondary,no,-402,yes,no,cellular,21,nov,151,1,-1,0,,no
17173,57,admin.,single,secondary,no,0,no,no,cellular,28,jul,261,4,-1,0,,no
19138,49,admin.,married,secondary,no,2254,no,no,cellular,5,aug,77,1,-1,0,,no
27021,50,admin.,married,secondary,no,4117,no,no,cellular,21,nov,530,1,-1,0,,yes
7871,58,management,married,primary,no,320,yes,no,,30,may,171,2,-1,0,,no
20986,47,admin.,married,secondary,no,6703,no,no,cellular,14,aug,252,3,-1,0,,no
