,age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome
30577,42,technician,married,tertiary,no,1397,yes,no,cellular,6,feb,135,7,-1,0,
30048,51,blue-collar,married,secondary,no,362,yes,yes,cellular,4,feb,318,3,-1,0,
24147,23,admin.,single,secondary,no,40,no,no,telephone,10,nov,1239,1,-1,0,
25584,57,entrepreneur,married,tertiary,no,1828,yes,no,cellular,19,nov,68,1,-1,0,
15822,47,management,divorced,tertiary,no,2105,no,yes,cellular,21,jul,363,1,-1,0,
177,34,technician,married,secondary,no,51,yes,no,,5,may,19,2,-1,0,
20421,44,self-employed,married,primary,no,4,no,no,cellular,12,aug,327,2,-1,0,
7170,26,admin.,single,tertiary,no,3672,yes,no,,29,may,360,5,-1,0,
928,52,blue-collar,married,secondary,no,-98,yes,no,,7,may,423,1,-1,0,
20114,35,technician,single,tertiary,no,2277,no,yes,cellular,11,aug,55,2,-1,0,
11896,35,self-employed,married,secondary,no,273,no,no,,20,jun,28,4,-1,0,
26029,37,management,single,tertiary,no,6964,no,no,cellular,19,nov,223,3,-1,0,
43415,29,management,single,,no,560,no,no,cellular,5,apr,459,1,307,1,failure
42281,61,retired,married,secondary,no,3114,no,no,cellular,13,nov,381,1,-1,0,
31384,57,retired,married,tertiary,no,1292,no,no,cellular,24,mar,89,1,-1,0,
28472,60,technician,divorced,secondary,no,615,yes,no,cellular,29,jan,130,1,-1,0,
26957,52,admin.,divorced,secondary,no,-402,yes,no,cellular,21,nov,151,1,-1,0,
17173,57,admin.,single,secondary,no,0,no,no,cellular,28,jul,261,4,-1,0,
19138,49,admin.,married,secondary,no,2254,no,no,cellular,5,aug,77,1,-1,0,
27021,50,admin.,married,secondary,no,4117,no,no,cellular,21,nov,530,1,-1,0,
7871,58,management,married,primary,no,320,yes,no,,30,may,171,2,-1,0,
20986,47,admin.,married,secondary,no,6703,no,no,cellular,14,aug,252,3,-1,0,
14046,37,blue-collar,single,secondary,no,1672,yes,no,cellular,11,jul,484,1,-1,0,
38302,32,services,single,secondary,no,-341,no,no,cellular,15,may,339,1,345,3,failure
7867,36,technician,divorced,secondary,no,1285,no,no,,30,may,230,2,-1,0,
