age,job,marital,education,default,balance,housing,loan,contact,month,duration,campaign,previous,target,pdays_contacted
27,blue-collar,married,primary,no,237,yes,no,cellular,jul,283,6,0,0,never
29,entrepreneur,married,secondary,no,926,yes,no,cellular,jul,169,2,0,0,never
51,blue-collar,married,primary,no,507,yes,no,cellular,aug,85,2,0,0,never
34,management,divorced,tertiary,no,4231,yes,no,cellular,aug,382,2,0,0,never
59,unemployed,married,primary,no,46,no,no,telephone,jul,44,2,0,0,never
57,blue-collar,married,secondary,no,4597,yes,no,cellular,aug,170,4,0,0,never
53,management,married,tertiary,no,6525,yes,no,,jun,73,3,0,0,never
47,blue-collar,married,primary,no,475,yes,yes,cellular,jan,99,2,7,0,contacted
44,services,divorced,secondary,no,-2,yes,no,cellular,may,152,5,0,0,never
35,blue-collar,married,primary,no,-35,yes,no,cellular,jul,123,2,0,0,never
49,services,divorced,,no,313,yes,no,cellular,jul,203,7,0,0,never
72,retired,married,secondary,no,1129,no,no,cellular,nov,208,1,1,1,contacted
44,management,married,secondary,no,238,no,no,cellular,aug,147,3,0,0,never
47,blue-collar,married,secondary,no,5306,yes,no,,may,322,1,0,0,never
33,self-employed,single,tertiary,no,562,yes,yes,cellular,apr,196,1,1,1,contacted
39,management,married,tertiary,no,0,no,no,cellular,aug,94,2,0,0,never
50,housemaid,married,primary,no,395,yes,no,,may,419,2,0,0,never
23,student,single,secondary,no,480,no,no,cellular,aug,162,1,0,0,never
53,admin.,divorced,secondary,no,0,yes,no,cellular,may,246,1,1,0,contacted
27,technician,single,tertiary,no,-67,yes,no,cellular,apr,604,3,2,1,contacted
43,management,divorced,secondary,no,693,yes,no,,may,124,3,0,0,never
36,blue-collar,divorced,secondary,no,-523,yes,yes,cellular,may,193,1,17,0,contacted
31,blue-collar,married,secondary,no,-112,no,yes,cellular,jul,128,1,0,0,never
45,technician,divorced,secondary,no,12389,no,yes,cellular,jul,711,1,0,0,never
53,management,married,tertiary,no,241,yes,no,cellular,nov,137,1,0,0,never
63,retired,married,secondary,no,2896,no,no,cellular,mar,180,2,0,1,never
25,student,single,,no,839,no,no,cellular,mar,109,1,2,0,contacted
34,management,married,primary,no,2200,no,no,cellular,nov,168,1,0,0,never
35,technician,married,secondary,no,1,no,no,cellular,feb,215,2,0,0,never
51,services,married,secondary,no,421,yes,no,cellular,apr,139,2,0,0,never
36,blue-collar,married,,no,-656,yes,no,,may,92,2,0,0,never
45,management,single,tertiary,no,5769,no,no,cellular,nov,59,3,0,0,never
46,entrepreneur,divorced,tertiary,no,148,yes,no,cellular,may,61,3,5,0,contacted
28,blue-collar,married,secondary,no,61,yes,no,cellular,feb,253,1,4,1,contacted
33,admin.,single,secondary,no,1613,yes,no,,may,565,1,0,0,never
53,management,divorced,tertiary,no,3370,no,no,cellular,oct,180,1,3,0,contacted
28,technician,married,secondary,no,2919,yes,no,cellular,jul,101,3,0,0,never
37,services,married,secondary,no,1616,yes,no,cellular,jul,418,3,0,0,never
38,technician,single,tertiary,no,369,no,no,cellular,aug,365,8,0,0,never
44,blue-collar,married,primary,no,353,yes,no,,may,705,1,0,0,never
60,retired,married,secondary,no,1853,no,no,cellular,aug,408,1,0,1,never
57,management,married,tertiary,no,75,no,no,cellular,aug,260,5,0,0,never
41,management,married,tertiary,no,9935,no,no,telephone,nov,49,1,0,0,never
41,blue-collar,divorced,secondary,no,388,no,no,cellular,aug,605,2,0,0,never
39,technician,married,tertiary,no,206,no,no,cellular,oct,148,2,2,1,contacted
32,student,single,,no,376,no,no,cellular,may,457,2,3,0,contacted
33,admin.,single,secondary,no,1221,yes,no,,may,245,1,0,0,never
58,blue-collar,married,secondary,no,0,no,no,,jun,267,2,0,0,never
27,student,single,secondary,no,6036,no,no,cellular,mar,175,1,1,1,contacted
29,services,married,secondary,no,10,yes,no,cellular,jul,246,2,0,0,never
35,entrepreneur,married,primary,no,29397,yes,no,cellular,nov,166,1,0,0,never
29,self-employed,single,tertiary,no,871,yes,no,cellular,jun,310,1,0,0,never
40,blue-collar,married,primary,no,592,yes,no,cellular,may,80,3,2,0,contacted
65,retired,married,primary,no,343,no,no,telephone,feb,159,2,0,0,never
52,management,married,tertiary,no,1177,yes,no,,may,473,1,0,0,never
31,blue-collar,married,secondary,no,625,yes,no,cellular,may,137,3,0,0,never
24,student,single,secondary,no,431,no,no,cellular,aug,418,11,5,1,contacted
65,retired,divorced,tertiary,no,0,no,no,cellular,aug,248,1,0,0,never
33,blue-collar,single,tertiary,no,457,yes,no,cellular,jul,107,4,0,0,never
24,student,single,secondary,no,1809,no,no,cellular,oct,165,1,2,1,contacted
40,technician,married,secondary,no,372,yes,no,cellular,aug,100,2,0,0,never
34,blue-collar,married,secondary,no,29,yes,no,cellular,may,285,5,0,1,never
56,blue-collar,married,secondary,no,3760,no,no,,jun,243,3,0,0,never
32,blue-collar,married,primary,no,-6,yes,no,cellular,may,169,2,0,0,never
41,management,married,secondary,no,1273,no,no,,jun,73,3,0,0,never
27,student,single,,no,2183,no,no,cellular,feb,219,3,0,0,never
38,admin.,divorced,secondary,no,19,yes,no,cellular,feb,1130,3,2,1,contacted
69,housemaid,married,primary,no,1080,no,no,cellular,aug,197,2,2,0,contacted
45,admin.,single,secondary,no,206,yes,no,,may,193,1,0,0,never
24,admin.,single,secondary,no,120,yes,no,cellular,may,145,1,0,0,never
