age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
27,blue-collar,married,primary,no,237,yes,no,cellular,22,jul,283,6,-1,0,,no
29,entrepreneur,married,secondary,no,926,yes,no,cellular,15,jul,169,2,-1,0,,no
51,blue-collar,married,primary,no,507,yes,no,cellular,8,aug,85,2,-1,0,,no
34,management,divorced,tertiary,no,4231,yes,no,cellular,11,aug,382,2,-1,0,,no
59,unemployed,married,primary,no,46,no,no,telephone,29,jul,44,2,-1,0,,no
57,blue-collar,married,secondary,no,4597,yes,no,cellular,14,aug,170,4,-1,0,,no
53,management,married,tertiary,no,6525,yes,no,,2,jun,73,3,-1,0,,no
47,blue-collar,married,primary,no,475,yes,yes,cellular,29,jan,99,2,251,7,other,no
44,services,divorced,secondary,no,-2,yes,no,cellular,15,may,152,5,-1,0,,no
35,blue-collar,married,primary,no,-35,yes,no,cellular,17,jul,123,2,-1,0,,no
49,services,divorced,,no,313,yes,no,cellular,31,jul,203,7,-1,0,,no
72,retired,married,secondary,no,1129,no,no,cellular,25,nov,208,1,91,1,success,yes
44,management,married,secondary,no,238,no,no,cellular,19,aug,147,3,-1,0,,no
47,blue-collar,married,secondary,no,5306,yes,no,,15,may,322,1,-1,0,,no
33,self-employed,single,tertiary,no,562,yes,yes,cellular,6,apr,196,1,363,1,failure,yes
39,management,married,tertiary,no,0,no,no,cellular,29,aug,94,2,-1,0,,no
50,housemaid,married,primary,no,395,yes,no,,15,may,419,2,-1,0,,no
23,student,single,secondary,no,480,no,no,cellular,11,aug,162,1,-1,0,,no
53,admin.,divorced,secondary,no,0,yes,no,cellular,5,may,246,1,344,1,failure,no
27,technician,single,tertiary,no,-67,yes,no,cellular,6,apr,604,3,236,2,failure,yes
43,management,divorced,secondary,no,693,yes,no,,5,may,124,3,-1,0,,no
36,blue-collar,divorced,secondary,no,-523,yes,yes,cellular,11,may,193,1,333,17,other,no
31,blue-collar,married,secondary,no,-112,no,yes,cellular,15,jul,128,1,-1,0,,no
45,technician,divorced,secondary,no,12389,no,yes,cellular,8,jul,711,1,-1,0,,no
53,management,married,tertiary,no,241,yes,no,cellular,19,nov,137,1,-1,0,,no
63,retired,married,secondary,no,2896,no,no,cellular,4,mar,180,2,-1,0,,yes
25,student,single,,no,839,no,no,cellular,15,mar,109,1,181,2,other,no
34,management,married,primary,no,2200,no,no,cellular,20,nov,168,1,-1,0,,no
35,technician,married,secondary,no,1,no,no,cellular,2,feb,215,2,-1,0,,no
51,services,married,secondary,no,421,yes,no,cellular,15,apr,139,2,-1,0,,no
36,blue-collar,married,,no,-656,yes,no,,20,may,92,2,-1,0,,no
45,management,single,tertiary,no,5769,no,no,cellular,20,nov,59,3,-1,0,,no
46,entrepreneur,divorced,tertiary,no,148,yes,no,cellular,18,may,61,3,350,5,other,no
28,blue-collar,married,secondary,no,61,yes,no,cellular,11,feb,253,1,174,4,success,yes
33,admin.,single,secondary,no,1613,yes,no,,14,may,565,1,-1,0,,no
53,management,divorced,tertiary,no,3370,no,no,cellular,21,oct,180,1,334,3,other,no
28,technician,married,secondary,no,2919,yes,no,cellular,14,jul,101,3,-1,0,,no
37,services,married,secondary,no,1616,yes,no,cellular,28,jul,418,3,-1,0,,no
38,technician,single,tertiary,no,369,no,no,cellular,7,aug,365,8,-1,0,,no
44,blue-collar,married,primary,no,353,yes,no,,13,may,705,1,-1,0,,no
60,retired,married,secondary,no,1853,no,no,cellular,11,aug,408,1,-1,0,,yes
57,management,married,tertiary,no,75,no,no,cellular,28,aug,260,5,-1,0,,no
41,management,married,tertiary,no,9935,no,no,telephone,21,nov,49,1,-1,0,,no
41,blue-collar,divorced,secondary,no,388,no,no,cellular,14,aug,605,2,-1,0,,no
39,technician,married,tertiary,no,206,no,no,cellular,20,oct,148,2,195,2,success,yes
32,student,single,,no,376,no,no,cellular,13,may,457,2,178,3,failure,no
33,admin.,single,secondary,no,1221,yes,no,,23,may,245,1,-1,0,,no
58,blue-collar,married,secondary,no,0,no,no,,5,jun,267,2,-1,0,,no
27,student,single,secondary,no,6036,no,no,cellular,31,mar,175,1,181,1,failure,yes
29,services,married,secondary,no,10,yes,no,cellular,14,jul,246,2,-1,0,,no
35,entrepreneur,married,primary,no,29397,yes,no,cellular,21,nov,166,1,-1,0,,no
29,self-employed,single,tertiary,no,871,yes,no,cellular,2,jun,310,1,-1,0,,no
40,blue-collar,married,primary,no,592,yes,no,cellular,18,may,80,3,350,2,failure,no
65,retired,married,primary,no,343,no,no,telephone,5,feb,159,2,-1,0,,no
52,management,married,tertiary,no,1177,yes,no,,29,may,473,1,-1,0,,no
31,blue-collar,married,secondary,no,625,yes,no,cellular,14,may,137,3,-1,0,,no
24,student,single,secondary,no,431,no,no,cellular,19,aug,418,11,185,5,success,yes
65,retired,divorced,tertiary,no,0,no,no,cellular,28,aug,248,1,-1,0,,no
33,blue-collar,single,tertiary,no,457,yes,no,cellular,23,jul,107,4,-1,0,,no
24,student,single,secondary,no,1809,no,no,cellular,11,oct,165,1,95,2,success,yes
40,technician,married,secondary,no,372,yes,no,cellular,13,aug,100,2,-1,0,,no
